bicipuerto,      status,      available-bikes,      capacity,      free-space,      long,      station-desc,      lat
GDL-163,In Service,3,15,9,-103.32898, C. Corregidora esquina Blvrd. Gral. Marcelino García Barragán,20.657817
GDL-164,In Service,3,15,12,-103.32186, Av. Olímpica esquinaC. José Rolon,20.655
GDL-165,In Service,8,19,11,-103.32553, C. Rio Panucoesquina Blvrd. Gral. Marcelino García Barragán,20.65251
GDL-166,In Service,12,19,7,-103.32719, C. Rio Principal esquina Blvrd. Gral. Marcelino García Barragán,20.65475
GDL-167,In Service,8,15,7,-103.32356, C. Rio San Juan de Dios esquina Blvrd. Gral. Marcelino García Barragán,20.64962
GDL-168,In Service,8,19,11,-103.31939, Av. Rio Nilo esquina C. Ramón Pacheco,20.64874
GDL-169,In Service,11,19,8,-103.32147, Blvrd. Gral Marcelino García Barragán esquina C. Rio Zapotlanejo,20.64707
GDL-170,In Service,7,15,8,-103.30619, C. Relojerosesquina C. Chamizal,20.64698
GDL-171,In Service,7,19,12,-103.3102, C. Maquinistas esquina C. San Rafael,20.6461
GDL-172,In Service,6,19,13,-103.30678, C. Chamizal esquina Av. Rio Nilo,20.64434
GDL-173,In Service,9,19,10,-103.30518, C. Caballerango esquina C. Caporales,20.64504
GDL-174,In Service,3,11,8,-103.4003, C. Fray Juan de Zumárraga esquina Av. Tepeyac,20.6641
GDL-175,In Service,8,11,2,-103.3981344, C. Ermita esquina C. San Uriel,20.66234072
GDL-176,In Service,7,11,3,-103.3976249, C. San Bonifacio esquina Paseo de los Benedictinos,20.67276201
GDL-177,In Service,8,15,7,-103.37657, C. Fray Francisco Frejes esquina C. Francisco Zarco,20.68669
GDL-178,In Service,4,15,11,-103.333746,C. Salvador Quevedo y Zubieta esquina C. López Portillo,20.685108
GDL-179,In Service,23,23,0,-103.333223, C. Monte Cáucaso esquina C. Sierra Nevada,20.687704
GDL-180,In Service,10,11,1,-103.33467, C. Montes Pirineos esquina C. Salvador Quevedo y Zubieta,20.68692
GDL-181,In Service,4,11,7,-103.36322, C. Ignacio Ramírez esquina Av. Plan de San Luis,20.69705
